id,name,latitude,longitude,district,address,dmrcaRegistrationNo,confidence,verificationStatus,verifiedAt,womenPrayer,parking,airConditioning,wudu,jummah,notes,sourceTypes,nsdiId,osmId,sourcesJson
nsdi-27079,,9.657496446000039,80.16387137500004,Jaffna,,,low,unverified,,,,,,,,nsdi,27079,,"[{""type"": ""nsdi"", ""id"": ""27079"", ""buildingId"": ""400051"", ""originalName"": """", ""latitude"": 9.657496446000039, ""longitude"": 80.16387137500004, ""district"": ""Jaffna"", ""note"": ""Sri Lanka NSDI 'Place of Worship' layer, ground-surveyed point geometry.""}]"
nsdi-27163,Jummah Mosque,9.668505828000036,80.01022026100003,Jaffna,,,high,needs_review,,,,,,,,"nsdi,osm",27163,way/569313488,"[{""type"": ""nsdi"", ""id"": ""27163"", ""buildingId"": ""301048"", ""originalName"": ""Jummah Mosque"", ""latitude"": 9.668505828000036, ""longitude"": 80.01022026100003, ""district"": ""Jaffna"", ""note"": ""Sri Lanka NSDI 'Place of Worship' layer, ground-surveyed point geometry.""}, {""type"": ""osm"", ""id"": ""way/569313488"", ""osmLink"": ""https://www.openstreetmap.org/way/569313488"", ""originalName"": ""Jumma Mosque"", ""nameTa"": ""ஜும்மாப் பள்ளிவாசல்"", ""nameSi"": null, ""latitude"": 9.6685104, ""longitude"": 80.0100517, ""addrCity"": null, ""addrStreet"": null, ""sourceQuery"": ""religion=muslim"", ""note"": ""OpenStreetMap, ODbL-licensed (© OpenStreetMap contributors).""}]"
nsdi-27231,Jaffna Grand Mosque,9.67607478800005,80.00586066700004,Jaffna,,,high,needs_review,,,,,,,,"nsdi,osm",27231,way/574277749,"[{""type"": ""nsdi"", ""id"": ""27231"", ""buildingId"": ""300980"", ""originalName"": """", ""latitude"": 9.67607478800005, ""longitude"": 80.00586066700004, ""district"": ""Jaffna"", ""note"": ""Sri Lanka NSDI 'Place of Worship' layer, ground-surveyed point geometry.""}, {""type"": ""osm"", ""id"": ""way/574277749"", ""osmLink"": ""https://www.openstreetmap.org/way/574277749"", ""originalName"": ""Jaffna Grand Mosque"", ""nameTa"": null, ""nameSi"": null, ""latitude"": 9.6762387, ""longitude"": 80.005287, ""addrCity"": null, ""addrStreet"": null, ""sourceQuery"": ""religion=muslim"", ""note"": ""OpenStreetMap, ODbL-licensed (© OpenStreetMap contributors).""}]"
nsdi-27235,,9.676637656000025,80.00692542300004,Jaffna,,,low,needs_review,,,,,,,"An ambiguous OSM candidate exists (way/572292227, name='Mohideen Jummah Mosque', 150.6m away) — Closest OSM candidate is 151m away, contested by another nearby candidate, no name signal. Not linked, needs manual review.",nsdi,27235,,"[{""type"": ""nsdi"", ""id"": ""27235"", ""buildingId"": ""300981"", ""originalName"": """", ""latitude"": 9.676637656000025, ""longitude"": 80.00692542300004, ""district"": ""Jaffna"", ""note"": ""Sri Lanka NSDI 'Place of Worship' layer, ground-surveyed point geometry.""}]"
nsdi-27259,Abubakkar Jumma Masjid,9.680343572000027,80.00478689000005,Jaffna,,,medium,needs_review,,,,,,,,"nsdi,osm",27259,way/575448053,"[{""type"": ""nsdi"", ""id"": ""27259"", ""buildingId"": ""300982"", ""originalName"": """", ""latitude"": 9.680343572000027, ""longitude"": 80.00478689000005, ""district"": ""Jaffna"", ""note"": ""Sri Lanka NSDI 'Place of Worship' layer, ground-surveyed point geometry.""}, {""type"": ""osm"", ""id"": ""way/575448053"", ""osmLink"": ""https://www.openstreetmap.org/way/575448053"", ""originalName"": ""Abubakkar Jumma Masjid"", ""nameTa"": null, ""nameSi"": null, ""latitude"": 9.6815947, ""longitude"": 80.0045969, ""addrCity"": null, ""addrStreet"": null, ""sourceQuery"": ""religion=muslim"", ""note"": ""OpenStreetMap, ODbL-licensed (© OpenStreetMap contributors).""}]"
nsdi-27958,Mohideen Jumma,9.348841088000029,80.41368753500007,Kilinochchi,,,low,needs_review,,,,,,,"A low-confidence DMRCA candidate exists (registrationNo=R/0925/KN/03, name='MOHIDEEN MOSQUE', score=100.0) — not linked, needs manual review.",nsdi,27958,,"[{""type"": ""nsdi"", ""id"": ""27958"", ""buildingId"": null, ""originalName"": ""Mohideen Jumma"", ""latitude"": 9.348841088000029, ""longitude"": 80.41368753500007, ""district"": ""Kilinochchi"", ""note"": ""Sri Lanka NSDI 'Place of Worship' layer, ground-surveyed point geometry.""}]"
nsdi-27959,,9.35272565400004,80.41545401600007,Kilinochchi,,,low,unverified,,,,,,,,nsdi,27959,,"[{""type"": ""nsdi"", ""id"": ""27959"", ""buildingId"": null, ""originalName"": null, ""latitude"": 9.35272565400004, ""longitude"": 80.41545401600007, ""district"": ""Kilinochchi"", ""note"": ""Sri Lanka NSDI 'Place of Worship' layer, ground-surveyed point geometry.""}]"
nsdi-28064,Nambuluwa Grand Mosque,7.172043939000048,80.13506175300006,Gampaha,,,low,needs_review,,,,,,,"A low-confidence DMRCA candidate exists (registrationNo=R/96/GM.06, name='NAMBULUWA JUMMA MOSQUE', score=100.0) — not linked, needs manual review.",nsdi,28064,,"[{""type"": ""nsdi"", ""id"": ""28064"", ""buildingId"": ""6000134"", ""originalName"": ""Nambuluwa Grand Mosque"", ""latitude"": 7.172043939000048, ""longitude"": 80.13506175300006, ""district"": ""Gampaha"", ""note"": ""Sri Lanka NSDI 'Place of Worship' layer, ground-surveyed point geometry.""}]"
nsdi-28075,Jabul Kairad Jumma Mosque,7.151910651000037,80.15474076400005,Kegalle,,,low,needs_review,,,,,,,"A low-confidence DMRCA candidate exists (registrationNo=R/0135/KD/12, name='MASJID JAMIUL KHAIRATH JUMMA MOSQUE', score=74.1) — not linked, needs manual review.",nsdi,28075,,"[{""type"": ""nsdi"", ""id"": ""28075"", ""buildingId"": ""6000157"", ""originalName"": ""Jabul Kairad Jumma Mosque"", ""latitude"": 7.151910651000037, ""longitude"": 80.15474076400005, ""district"": ""Kegalle"", ""note"": ""Sri Lanka NSDI 'Place of Worship' layer, ground-surveyed point geometry.""}]"
nsdi-28164,Masjidun Noor Jummah Mosque,7.1156463110000345,80.14131463500007,Gampaha,,,low,needs_review,,,,,,,"A low-confidence DMRCA candidate exists (registrationNo=R/1094/GM.34, name='MASJIDUN NOOR JUMMA MOSQUE', score=100.0) — not linked, needs manual review.",nsdi,28164,,"[{""type"": ""nsdi"", ""id"": ""28164"", ""buildingId"": ""6000315"", ""originalName"": ""Masjidun Noor Jummah Mosque"", ""latitude"": 7.1156463110000345, ""longitude"": 80.14131463500007, ""district"": ""Gampaha"", ""note"": ""Sri Lanka NSDI 'Place of Worship' layer, ground-surveyed point geometry.""}]"
