priorityRank,reviewType,priorityReason,id,name,district,address,dmrcaRegistrationNo,latitude,longitude,confidence,notes
168,quick_confirm,"2 source(s) (nsdi,osm), high confidence — corroborated, ready for a quick manual confirm.",nsdi-25626,Thakkiya,Trincomalee,,,8.449908626000024,81.07518634500008,high,
169,quick_confirm,"2 source(s) (nsdi,dmrca), high confidence — corroborated, ready for a quick manual confirm.",nsdi-25669,AL MASJIDUL BAITHUL HAMDU,Trincomalee,SIRAJ NAGAR,R/1913/T/171,8.467303095000034,81.07474925800005,high,
170,quick_confirm,"2 source(s) (nsdi,osm), high confidence — corroborated, ready for a quick manual confirm.",nsdi-25728,,Trincomalee,,,8.500718301000063,81.19149838700008,high,
171,quick_confirm,"2 source(s) (nsdi,dmrca), high confidence — corroborated, ready for a quick manual confirm.",nsdi-25744,RAHMANIYA GRAND JUMMA MOSQUE,Trincomalee,SINNA KINNIYA,R/0556/T/013,8.505903861000036,81.18673816600005,high,
172,quick_confirm,"2 source(s) (nsdi,dmrca), high confidence — corroborated, ready for a quick manual confirm.",nsdi-25763,MASJIDUL MUNAWWARA JUMMA MOSQUE,Trincomalee,"MAKKULUTHU,",R/0655/T/023,8.520996905000061,81.18652065700007,high,
173,quick_confirm,"2 source(s) (nsdi,dmrca), high confidence — corroborated, ready for a quick manual confirm.",nsdi-25813,PERIYAKADAI JUMMA MOSQUE,Trincomalee,"22, COURT ROAD",R/208/T/005,8.56210807900004,81.23959819100008,high,
174,quick_confirm,"2 source(s) (nsdi,osm), high confidence — corroborated, ready for a quick manual confirm.",nsdi-25868,,Trincomalee,,,8.588362675000042,81.20371684300005,high,
175,quick_confirm,"2 source(s) (nsdi,osm), high confidence — corroborated, ready for a quick manual confirm.",nsdi-25897,Masjithuth Thakva,Vavuniya,,,8.61372536600004,80.32854647300007,high,
176,quick_confirm,"2 source(s) (nsdi,osm), high confidence — corroborated, ready for a quick manual confirm.",nsdi-25986,,Vavuniya,,,8.708940103000032,80.43374030000007,high,
177,quick_confirm,"2 source(s) (nsdi,osm), high confidence — corroborated, ready for a quick manual confirm.",nsdi-25992,,Vavuniya,,,8.718708437000032,80.43865123100005,high,
178,quick_confirm,"2 source(s) (nsdi,dmrca), high confidence — corroborated, ready for a quick manual confirm.",nsdi-26011,MASJIDUL HUDA JUMMA MOSQUE,Vavuniya,"MOOR'S SALAMBAIKULAM EAST, POOVARASANKULAM",R/1565/V/22,8.732198486000073,80.26001138100008,high,
179,quick_confirm,"2 source(s) (nsdi,osm), high confidence — corroborated, ready for a quick manual confirm.",nsdi-26064,,Vavuniya,,,8.752133236000077,80.43396254200007,high,
180,quick_confirm,"2 source(s) (nsdi,osm), high confidence — corroborated, ready for a quick manual confirm.",nsdi-26077,Jummah Grand Mosque,Vavuniya,,,8.756133699000031,80.50096455100004,high,
181,quick_confirm,"2 source(s) (nsdi,osm), high confidence — corroborated, ready for a quick manual confirm.",nsdi-26231,RASOOL PUTHUVELI MASJID,Mannar,,,8.843807642000058,79.99910589000007,high,
182,quick_confirm,"2 source(s) (nsdi,osm), high confidence — corroborated, ready for a quick manual confirm.",nsdi-26348,,Mannar,,,8.972107436000044,80.15078948800004,high,
183,quick_confirm,"2 source(s) (nsdi,osm), high confidence — corroborated, ready for a quick manual confirm.",nsdi-26359,Uppukulam Jummah Mosque,Mannar,,,8.978954742000042,79.91596946300007,high,
184,quick_confirm,"2 source(s) (nsdi,dmrca), high confidence — corroborated, ready for a quick manual confirm.",nsdi-26993,MANKUMPAN MOSQUE,Jaffna,VELANAI,R/0567/J/12,9.633517361000031,79.92243272100006,high,
185,quick_confirm,"2 source(s) (nsdi,osm), high confidence — corroborated, ready for a quick manual confirm.",nsdi-27163,Jummah Mosque,Jaffna,,,9.668505828000036,80.01022026100003,high,
186,quick_confirm,"2 source(s) (nsdi,osm), high confidence — corroborated, ready for a quick manual confirm.",nsdi-27231,Jaffna Grand Mosque,Jaffna,,,9.67607478800005,80.00586066700004,high,
187,quick_confirm,"2 source(s) (nsdi,dmrca), high confidence — corroborated, ready for a quick manual confirm.",nsdi-28313,MUHIYADEEN THAKKIYA,Gampaha,"300, DIPPITIGODA ROAD, HUNUPITIYA",R/2241/GM/82,7.0976820440000665,80.11205571200009,high,
188,quick_confirm,"2 source(s) (nsdi,osm), high confidence — corroborated, ready for a quick manual confirm.",nsdi-28360,yatiyantota town mosque,Kegalle,,,7.028962251000053,80.29543332400004,high,
